item_types,weekday,time_since_person,time_of_day,current_sit_minutes,total_session_minutes,num_previous_returns,seat_now_occupied,new_person_present,label
"earphones,phone,laptop",Mon,29,15.02,187,363,5,0,0,TEMP_LEAVE
"bottle,iPad,earphones,keys",Tue,12,15.1,139,320,3,0,1,TEMP_LEAVE
"student-id,keys",Sun,1,18.58,72,187,5,0,1,TEMP_LEAVE
"watch,earphones,wallet",Sun,20,13.79,174,284,5,0,1,TEMP_LEAVE
"iPad,charging-cable",Mon,1,14.04,171,216,5,1,0,OCCUPIED
"paper,mouse,watch,keys",Sun,11,10.81,41,109,3,1,0,OCCUPIED
iPad,Tue,7,20.01,170,366,5,1,0,OCCUPIED
"watch,bottle,keys",Thu,7,17.69,112,215,2,1,1,TEMP_LEAVE
"bottle,mouse",Thu,7,10.02,165,312,2,1,1,TEMP_LEAVE
"watch,iPad",Fri,28,9.35,56,58,3,0,1,TEMP_LEAVE
"paper,mouse",Mon,20,10.37,144,310,2,0,0,LEFT_BEHIND
"student-id,watch,phone,bag",Sun,52,14.98,177,375,2,0,1,TEMP_LEAVE
"iPad,watch,book,paper",Tue,58,8.34,115,177,4,0,0,TEMP_LEAVE
"watch,laptop,pen,earphones",Sun,7,20.52,1,38,3,0,0,TEMP_LEAVE
"bottle,student-id",Thu,58,19.75,42,205,1,1,0,OCCUPIED
"book,mouse,keys,phone",Fri,19,21.53,103,242,1,0,0,TEMP_LEAVE
keys,Sun,0,12.78,32,106,1,0,0,OCCUPIED
mouse,Thu,30,15.16,178,234,2,1,0,OCCUPIED
"iPad,charging-cable",Fri,49,14.29,98,246,4,1,0,OCCUPIED
"earphones,bottle",Wed,19,20.33,193,289,4,0,1,TEMP_LEAVE
"keys,watch",Fri,49,8.64,7,157,2,0,0,TEMP_LEAVE
"earphones,phone,watch,bag",Thu,9,13.29,51,149,3,1,1,TEMP_LEAVE
"pen,charging-cable,laptop,mouse",Fri,43,15.14,101,101,0,1,1,LEFT_BEHIND
"book,student-id",Tue,34,14.59,163,177,3,0,0,TEMP_LEAVE
"bag,wallet",Sat,57,10.64,103,173,0,0,1,LEFT_BEHIND
"iPad,laptop,watch,keys",Sun,42,18.8,38,102,3,0,0,TEMP_LEAVE
wallet,Sun,12,10.77,17,93,0,0,1,LEFT_BEHIND
"watch,charging-cable,laptop,pen",Tue,35,9.89,124,274,0,1,1,LEFT_BEHIND
"glasses,student-id",Sun,4,11.81,20,31,5,0,1,TEMP_LEAVE
phone,Fri,60,18.27,38,90,0,1,1,LEFT_BEHIND
keys,Wed,56,11.77,57,214,1,1,1,LEFT_BEHIND
"watch,iPad,earphones,laptop",Wed,60,10.44,11,117,2,1,1,LEFT_BEHIND
"laptop,wallet,keys",Tue,54,16.79,44,185,4,1,0,OCCUPIED
"book,charging-cable,wallet,laptop",Thu,13,8.09,79,116,5,1,1,LEFT_BEHIND
"iPad,glasses,charging-cable",Sat,20,8.24,200,307,1,1,1,LEFT_BEHIND
"student-id,paper,pen",Sat,47,11.89,15,207,0,0,1,LEFT_BEHIND
"phone,watch,mouse,bottle",Mon,58,10.87,72,202,3,0,0,TEMP_LEAVE
"wallet,watch,pen",Sat,26,14.41,62,157,5,1,0,OCCUPIED
"laptop,student-id,glasses",Tue,15,15.7,57,92,1,0,0,TEMP_LEAVE
"earphones,pen",Sun,16,12.3,21,93,5,1,1,LEFT_BEHIND
pen,Fri,3,15.58,57,213,2,1,1,TEMP_LEAVE
"phone,bag,mouse",Sat,30,21.1,38,155,0,0,1,LEFT_BEHIND
pen,Sat,29,9.05,39,117,2,1,0,OCCUPIED
wallet,Thu,29,16.2,112,143,2,0,1,LEFT_BEHIND
earphones,Sat,30,17.6,155,206,0,1,1,LEFT_BEHIND
phone,Fri,54,10.73,9,12,4,0,1,TEMP_LEAVE
"watch,wallet,glasses,phone",Mon,40,8.24,161,194,5,1,1,LEFT_BEHIND
"laptop,mouse,keys,student-id",Wed,31,21.91,3,165,2,1,0,OCCUPIED
"watch,book,bag,earphones",Wed,1,13.42,159,239,4,0,0,TEMP_LEAVE
"wallet,bottle",Tue,59,17.52,61,109,5,0,0,TEMP_LEAVE
"watch,mouse,glasses",Sun,2,21.97,181,367,4,0,0,TEMP_LEAVE
bag,Wed,44,9.48,14,166,3,0,0,TEMP_LEAVE
"paper,pen",Fri,12,9.21,166,328,1,1,0,OCCUPIED
"iPad,paper,laptop",Wed,5,15.07,26,125,3,1,1,TEMP_LEAVE
"iPad,pen",Sat,27,8.26,45,132,1,0,1,TEMP_LEAVE
"paper,earphones,bag,laptop",Wed,58,19.66,75,149,1,1,1,LEFT_BEHIND
"paper,bag",Mon,12,10.93,189,374,5,1,0,OCCUPIED
"bag,book,earphones,phone",Tue,20,18.84,195,380,5,1,0,OCCUPIED
book,Tue,13,8.25,80,271,2,1,1,LEFT_BEHIND
mouse,Wed,11,11.26,118,183,5,1,1,LEFT_BEHIND
"laptop,phone",Tue,12,13.32,160,290,5,1,1,TEMP_LEAVE
keys,Wed,30,11.09,153,171,1,1,1,LEFT_BEHIND
glasses,Sat,12,19.04,154,320,1,1,0,OCCUPIED
"laptop,book,student-id",Sun,53,8.16,134,302,2,0,1,TEMP_LEAVE
"paper,iPad,student-id",Mon,52,14.99,120,125,3,0,0,TEMP_LEAVE
"iPad,student-id,watch",Thu,31,9.36,79,111,5,1,0,OCCUPIED
"bag,student-id,earphones,watch",Wed,58,10.74,163,258,1,1,1,LEFT_BEHIND
"book,glasses,watch,earphones",Thu,47,15.47,118,277,0,1,0,OCCUPIED
"mouse,pen",Sun,2,17.18,60,191,5,1,1,TEMP_LEAVE
book,Tue,30,18.15,22,53,2,0,1,LEFT_BEHIND
"book,pen,phone,earphones",Mon,20,20.28,158,251,5,1,0,OCCUPIED
iPad,Sun,12,8.08,200,291,0,1,0,OCCUPIED
"student-id,iPad,phone",Thu,26,16.66,174,332,4,1,0,OCCUPIED
"book,watch,pen",Sat,29,10.11,31,206,0,1,0,OCCUPIED
"keys,bag,phone,bottle",Tue,33,8.6,157,327,4,1,1,LEFT_BEHIND
charging-cable,Sun,49,16.63,156,169,4,0,1,LEFT_BEHIND
mouse,Sun,53,18.04,34,206,5,1,1,LEFT_BEHIND
"student-id,wallet",Wed,2,19.36,131,220,3,1,0,OCCUPIED
"book,wallet,keys,phone",Sun,48,11.62,200,283,4,1,0,OCCUPIED
"paper,earphones",Mon,20,11.16,199,253,3,0,1,LEFT_BEHIND
"glasses,pen,iPad",Mon,49,12.01,157,237,0,0,0,LEFT_BEHIND
"book,earphones,keys,glasses",Wed,22,16.06,178,336,2,0,1,TEMP_LEAVE
"charging-cable,mouse,bag",Wed,36,12.76,43,170,2,0,1,TEMP_LEAVE
"book,student-id",Wed,32,19.6,170,198,3,1,0,OCCUPIED
"mouse,bag",Tue,59,21.52,17,215,3,1,1,LEFT_BEHIND
"pen,book",Mon,30,16.68,109,163,2,1,0,OCCUPIED
pen,Tue,51,18.45,91,97,4,1,0,OCCUPIED
"mouse,laptop,keys",Tue,25,19.44,185,313,0,1,0,OCCUPIED
"bag,phone,book",Thu,38,17.32,27,150,0,0,1,LEFT_BEHIND
"charging-cable,wallet,iPad",Tue,56,10.71,157,293,3,0,0,TEMP_LEAVE
"paper,keys,charging-cable",Sun,30,10.11,119,184,5,0,1,LEFT_BEHIND
"wallet,bottle,iPad,paper",Sun,25,10.95,131,297,4,1,0,OCCUPIED
"keys,bag",Wed,7,10.19,44,113,5,1,0,OCCUPIED
book,Tue,50,15.49,88,210,1,0,1,LEFT_BEHIND
keys,Sat,46,8.4,20,136,3,0,0,LEFT_BEHIND
"pen,bag,wallet",Fri,33,19.63,25,146,2,0,1,TEMP_LEAVE
"iPad,mouse",Fri,25,16.38,194,307,4,0,0,TEMP_LEAVE
student-id,Mon,27,11.75,15,209,3,0,1,TEMP_LEAVE
"laptop,book,earphones",Wed,51,18.53,90,145,4,1,1,LEFT_BEHIND
glasses,Fri,14,14.82,54,115,3,1,1,LEFT_BEHIND
"keys,pen,phone,bottle",Sun,34,18.7,6,68,3,1,0,OCCUPIED
"bottle,student-id",Sat,35,20.1,98,234,3,1,1,LEFT_BEHIND
bottle,Sat,10,14.09,29,206,2,1,0,OCCUPIED
book,Tue,25,8.56,20,132,4,1,1,LEFT_BEHIND
"earphones,keys",Wed,13,20.52,88,166,0,0,1,TEMP_LEAVE
watch,Tue,37,19.81,154,319,5,0,1,TEMP_LEAVE
"laptop,charging-cable,pen",Sat,57,17.98,200,277,4,1,1,LEFT_BEHIND
glasses,Sat,35,20.87,179,191,0,0,0,LEFT_BEHIND
"keys,iPad",Sat,22,14.64,6,182,0,1,0,OCCUPIED
"bottle,book,pen,student-id",Mon,9,10.99,65,86,2,1,1,TEMP_LEAVE
"laptop,phone",Fri,50,9.83,7,106,5,1,0,OCCUPIED
"paper,mouse",Sun,49,15.77,42,80,2,0,1,LEFT_BEHIND
"student-id,pen,wallet",Wed,56,15.95,117,137,4,0,1,TEMP_LEAVE
"watch,keys,laptop,mouse",Sun,49,13.2,134,225,1,1,1,LEFT_BEHIND
book,Sun,41,8.82,149,314,2,1,1,LEFT_BEHIND
"watch,paper,bottle",Mon,58,16.66,123,300,1,1,0,OCCUPIED
"watch,student-id,wallet",Thu,56,12.39,45,231,5,1,0,OCCUPIED
"keys,laptop,phone",Fri,35,16.17,137,303,3,1,1,LEFT_BEHIND
"phone,earphones,bottle",Fri,1,18.01,129,268,5,1,1,TEMP_LEAVE
charging-cable,Mon,5,19.59,22,181,5,1,0,OCCUPIED
"charging-cable,earphones",Tue,19,14.39,62,237,0,0,0,LEFT_BEHIND
paper,Sun,32,13.47,96,226,3,0,1,LEFT_BEHIND
"earphones,phone,student-id",Mon,40,16.88,77,131,2,1,1,LEFT_BEHIND
keys,Thu,34,13.26,69,178,4,0,1,LEFT_BEHIND
"student-id,paper",Sun,31,9.78,1,118,5,0,1,TEMP_LEAVE
"iPad,earphones",Thu,3,13.58,90,152,5,0,0,TEMP_LEAVE
"earphones,phone,watch",Fri,21,12.18,5,198,0,0,1,TEMP_LEAVE
"wallet,bag,paper,keys",Wed,46,9.1,141,143,5,0,1,TEMP_LEAVE
"iPad,pen,earphones",Mon,12,18.21,133,273,5,0,1,TEMP_LEAVE
"wallet,iPad,bag,pen",Sat,41,8.5,127,253,2,0,1,TEMP_LEAVE
mouse,Tue,56,16.55,115,193,5,1,1,LEFT_BEHIND
"book,phone,laptop",Mon,48,11.32,107,289,4,1,0,OCCUPIED
"bottle,keys,phone",Sun,51,8.63,86,226,0,0,0,LEFT_BEHIND
"paper,wallet,student-id",Wed,6,18.95,23,194,4,0,1,TEMP_LEAVE
"watch,book,glasses,wallet",Fri,48,15.92,134,149,3,0,0,TEMP_LEAVE
"book,earphones,phone,iPad",Thu,12,12.78,14,18,5,0,0,TEMP_LEAVE
"watch,mouse,keys",Mon,41,13.89,59,185,0,0,1,LEFT_BEHIND
"book,watch,mouse",Tue,39,17.7,107,278,0,1,0,OCCUPIED
"earphones,student-id,laptop,pen",Sun,31,16.47,154,173,2,0,1,TEMP_LEAVE
"charging-cable,wallet",Mon,47,15.72,103,105,3,0,1,LEFT_BEHIND
"pen,bottle,book",Mon,58,12.25,72,131,1,0,1,LEFT_BEHIND
"student-id,wallet",Thu,40,17.0,176,329,1,0,1,TEMP_LEAVE
"paper,keys,student-id,pen",Sun,31,11.75,79,210,5,1,1,LEFT_BEHIND
"book,pen,bag",Mon,15,17.17,168,218,2,0,0,TEMP_LEAVE
"book,mouse,paper",Fri,54,9.87,126,313,3,0,1,LEFT_BEHIND
"bag,iPad,watch",Fri,42,14.12,83,254,2,1,0,OCCUPIED
"bottle,book,phone",Sun,54,19.91,196,207,3,1,0,OCCUPIED
"iPad,phone,bag,paper",Fri,57,8.59,138,148,0,1,1,LEFT_BEHIND
"bottle,bag,student-id",Sun,2,8.77,144,336,3,1,0,OCCUPIED
"student-id,laptop",Sun,33,16.32,189,280,4,0,0,TEMP_LEAVE
"phone,earphones,paper,pen",Thu,26,11.61,176,193,4,0,1,TEMP_LEAVE
mouse,Mon,15,12.25,78,242,5,0,0,LEFT_BEHIND
glasses,Wed,43,16.48,9,208,4,1,0,OCCUPIED
glasses,Thu,7,13.55,106,165,0,0,1,LEFT_BEHIND
"wallet,laptop",Tue,51,13.34,80,130,4,0,1,TEMP_LEAVE
"charging-cable,laptop,keys",Tue,38,15.94,64,228,2,0,1,TEMP_LEAVE
mouse,Fri,40,15.36,4,71,5,0,1,LEFT_BEHIND
watch,Tue,30,14.6,54,203,1,1,0,OCCUPIED
"pen,mouse,iPad,bottle",Sat,5,10.12,2,96,5,0,0,TEMP_LEAVE
"glasses,bottle,book",Thu,29,18.7,35,142,5,0,0,LEFT_BEHIND
"bag,charging-cable,paper",Tue,38,8.75,20,191,3,1,1,LEFT_BEHIND
watch,Sat,34,19.88,91,252,3,0,0,TEMP_LEAVE
"laptop,paper",Thu,49,17.38,91,252,1,1,1,LEFT_BEHIND
"pen,earphones,glasses,book",Fri,56,8.75,165,226,2,1,1,LEFT_BEHIND
"glasses,mouse,earphones",Sat,29,8.61,38,165,3,1,1,LEFT_BEHIND
book,Mon,9,10.66,82,197,5,1,0,OCCUPIED
"pen,iPad,laptop,charging-cable",Sat,26,12.83,167,307,1,1,0,OCCUPIED
bottle,Mon,57,19.6,149,238,3,1,1,LEFT_BEHIND
"bag,paper,earphones",Tue,38,19.45,155,210,2,0,0,TEMP_LEAVE
"bag,charging-cable,paper",Thu,54,21.93,50,139,3,0,0,TEMP_LEAVE
"phone,watch,pen,bag",Wed,14,13.78,184,231,0,0,0,TEMP_LEAVE
"charging-cable,book,keys",Wed,2,13.35,115,131,4,1,0,OCCUPIED
"phone,watch,pen",Fri,30,14.18,115,275,1,1,0,OCCUPIED
"phone,student-id,iPad",Thu,11,21.04,35,53,3,1,1,TEMP_LEAVE
"iPad,earphones,laptop",Mon,53,10.55,84,252,2,0,1,TEMP_LEAVE
keys,Fri,9,12.98,111,134,1,0,1,TEMP_LEAVE
"mouse,paper,keys",Mon,58,21.12,148,182,5,1,1,LEFT_BEHIND
earphones,Fri,60,16.77,16,124,4,1,1,LEFT_BEHIND
"paper,iPad,earphones,bottle",Thu,21,18.2,112,204,4,1,1,LEFT_BEHIND
iPad,Fri,21,11.75,107,252,0,0,0,TEMP_LEAVE
wallet,Sun,22,19.51,18,89,2,0,0,LEFT_BEHIND
"charging-cable,student-id,phone",Mon,10,20.11,28,35,1,0,0,TEMP_LEAVE
"watch,phone,wallet",Mon,16,8.23,18,208,5,0,1,TEMP_LEAVE
"pen,watch,keys",Thu,56,10.0,11,101,3,0,0,TEMP_LEAVE
phone,Mon,26,12.43,172,189,4,1,0,OCCUPIED
"charging-cable,earphones,bag",Sun,57,18.62,30,137,2,1,0,OCCUPIED
"wallet,watch",Mon,3,18.62,122,225,1,1,1,TEMP_LEAVE
"glasses,keys,bag",Mon,55,16.75,181,220,1,1,1,LEFT_BEHIND
"watch,charging-cable,iPad",Sun,0,10.04,6,153,0,1,0,OCCUPIED
"pen,student-id,mouse",Wed,44,20.69,187,279,5,0,0,TEMP_LEAVE
"charging-cable,student-id,bottle,paper",Fri,48,19.76,167,265,1,0,0,TEMP_LEAVE
watch,Mon,11,17.1,170,179,0,1,0,OCCUPIED
"bag,earphones,paper",Mon,37,13.61,152,342,0,1,0,OCCUPIED
bottle,Sun,52,12.8,158,216,0,0,0,LEFT_BEHIND
"glasses,pen,phone",Mon,31,11.82,97,293,2,0,0,TEMP_LEAVE
earphones,Sat,16,11.73,165,223,0,0,1,LEFT_BEHIND
iPad,Fri,59,19.19,157,199,5,0,1,TEMP_LEAVE
"wallet,iPad,bottle,mouse",Sun,59,18.09,127,199,3,0,1,TEMP_LEAVE
"bag,student-id,earphones,mouse",Wed,47,11.52,188,202,5,0,0,TEMP_LEAVE
earphones,Fri,15,17.16,191,220,4,0,1,LEFT_BEHIND
"bottle,earphones,mouse,wallet",Wed,12,18.37,141,166,5,1,0,OCCUPIED
"paper,mouse,book",Mon,33,10.38,180,240,3,0,0,LEFT_BEHIND
"wallet,bottle,laptop",Tue,20,19.16,78,95,2,0,1,TEMP_LEAVE
"bottle,phone,wallet",Tue,42,16.31,63,135,2,1,1,LEFT_BEHIND
keys,Thu,30,21.49,194,386,2,0,1,LEFT_BEHIND
glasses,Fri,11,18.6,117,212,4,0,1,LEFT_BEHIND
"glasses,wallet,iPad,watch",Tue,23,19.41,116,260,1,1,0,OCCUPIED
bag,Sat,13,12.29,115,153,3,0,0,TEMP_LEAVE
"student-id,watch,book,mouse",Mon,34,20.17,121,314,0,0,1,LEFT_BEHIND
earphones,Fri,50,21.83,61,261,1,0,0,LEFT_BEHIND
"keys,bottle",Sat,2,14.61,40,72,1,1,1,TEMP_LEAVE
"phone,iPad,mouse,laptop",Mon,11,13.72,125,177,5,0,1,TEMP_LEAVE
"student-id,bottle",Sat,60,16.73,74,235,2,1,1,LEFT_BEHIND
"wallet,keys",Thu,37,10.88,124,272,2,1,1,LEFT_BEHIND
"paper,bottle",Thu,39,13.68,5,80,5,0,1,LEFT_BEHIND
wallet,Tue,50,18.12,142,207,4,1,1,LEFT_BEHIND
wallet,Sat,7,15.75,107,142,5,0,0,TEMP_LEAVE
book,Tue,47,20.03,112,147,0,0,0,LEFT_BEHIND
"phone,keys,book",Sat,23,15.35,166,252,3,0,1,TEMP_LEAVE
laptop,Tue,10,19.73,98,277,2,0,1,TEMP_LEAVE
"watch,glasses",Tue,0,12.53,42,45,0,0,1,OCCUPIED
"pen,keys",Sat,19,13.23,60,80,3,0,0,LEFT_BEHIND
"student-id,watch,pen,glasses",Wed,17,11.86,73,182,1,1,1,TEMP_LEAVE
"keys,bag,student-id",Sat,41,21.85,154,169,3,1,1,LEFT_BEHIND
earphones,Thu,13,15.13,68,261,1,0,1,LEFT_BEHIND
"iPad,student-id,pen,laptop",Wed,44,16.98,109,146,0,0,0,LEFT_BEHIND
"earphones,pen,mouse",Fri,45,17.66,181,317,1,0,1,LEFT_BEHIND
keys,Sun,51,16.03,159,328,1,0,1,LEFT_BEHIND
paper,Sun,38,21.85,180,233,4,0,1,LEFT_BEHIND
"watch,bag",Thu,53,10.16,17,49,3,0,1,TEMP_LEAVE
"student-id,mouse",Sat,59,8.67,175,291,5,1,0,OCCUPIED
phone,Sat,47,10.52,115,313,4,0,0,TEMP_LEAVE
"glasses,phone",Sat,8,8.55,57,138,5,1,1,TEMP_LEAVE
"bottle,student-id,iPad,keys",Sun,43,16.95,33,185,4,0,1,TEMP_LEAVE
"keys,book,bottle",Fri,51,16.29,116,272,3,1,0,OCCUPIED
"charging-cable,student-id,laptop",Sat,55,9.47,118,186,3,0,1,TEMP_LEAVE
"iPad,phone,laptop,bag",Mon,34,17.12,40,236,1,1,1,LEFT_BEHIND
"watch,paper,bag,wallet",Tue,30,17.12,54,64,0,1,1,LEFT_BEHIND
bag,Mon,6,8.69,137,303,2,1,0,OCCUPIED
"student-id,earphones,glasses,watch",Sat,9,21.85,146,161,0,0,0,TEMP_LEAVE
laptop,Sat,27,21.62,102,117,1,0,0,TEMP_LEAVE
"book,iPad",Sat,55,8.98,131,302,0,0,0,LEFT_BEHIND
"bottle,laptop,paper,wallet",Thu,40,9.75,147,316,0,1,0,OCCUPIED
"mouse,phone",Sun,15,11.34,60,123,3,1,1,LEFT_BEHIND
"paper,iPad,bag,glasses",Mon,52,8.91,152,215,1,0,0,TEMP_LEAVE
glasses,Wed,42,18.57,84,195,2,0,1,LEFT_BEHIND
"charging-cable,wallet",Fri,5,8.75,72,133,4,0,1,TEMP_LEAVE
"glasses,iPad,charging-cable",Wed,12,13.49,68,193,0,1,0,OCCUPIED
"charging-cable,phone",Wed,47,13.38,8,44,2,0,0,TEMP_LEAVE
"laptop,student-id",Mon,20,14.57,155,352,5,1,0,OCCUPIED
"mouse,student-id,phone",Thu,19,13.73,158,357,2,1,1,TEMP_LEAVE
"earphones,iPad,laptop,charging-cable",Thu,42,13.26,58,211,4,1,1,LEFT_BEHIND
earphones,Tue,25,21.6,111,240,4,1,0,OCCUPIED
"glasses,charging-cable",Tue,32,13.71,116,146,4,1,0,OCCUPIED
"charging-cable,mouse",Mon,13,19.42,64,250,5,1,0,OCCUPIED
mouse,Fri,45,8.54,118,160,2,1,1,LEFT_BEHIND
"charging-cable,bottle",Tue,27,20.29,155,208,0,0,0,LEFT_BEHIND
"iPad,laptop,wallet,mouse",Tue,35,10.56,90,286,1,1,1,LEFT_BEHIND
"phone,book,glasses,earphones",Thu,42,13.3,4,45,5,0,1,TEMP_LEAVE
paper,Tue,25,12.32,145,333,4,1,0,OCCUPIED
"charging-cable,bottle",Sat,13,18.06,164,282,3,0,1,LEFT_BEHIND
"keys,glasses,laptop,book",Wed,28,11.27,120,144,4,1,1,LEFT_BEHIND
"student-id,watch",Sat,51,10.89,76,105,3,0,1,TEMP_LEAVE
"watch,student-id",Mon,59,20.38,112,173,4,0,0,TEMP_LEAVE
"charging-cable,bottle,keys,book",Thu,30,8.33,105,265,3,1,0,OCCUPIED
"phone,earphones",Mon,60,11.49,141,173,1,0,0,TEMP_LEAVE
paper,Thu,21,8.35,113,283,5,1,0,OCCUPIED
mouse,Fri,27,13.67,91,113,2,0,1,LEFT_BEHIND
"laptop,glasses,wallet",Mon,1,15.75,64,216,3,1,0,OCCUPIED
"charging-cable,wallet,watch",Thu,52,8.81,65,140,5,0,0,TEMP_LEAVE
student-id,Tue,56,15.51,129,290,1,0,0,TEMP_LEAVE
"laptop,bag,watch,book",Sun,52,20.83,104,242,5,0,0,TEMP_LEAVE
"wallet,glasses",Fri,26,17.12,32,141,5,0,0,LEFT_BEHIND
"bag,wallet",Tue,50,20.26,72,85,1,0,0,TEMP_LEAVE
"charging-cable,wallet,bottle,watch",Fri,44,8.16,52,54,5,1,1,LEFT_BEHIND
"charging-cable,pen,bag",Tue,31,12.25,116,235,2,1,0,OCCUPIED
"iPad,charging-cable,book",Fri,22,8.01,28,148,5,1,0,OCCUPIED
"glasses,wallet,keys,book",Fri,7,9.62,170,300,1,1,1,TEMP_LEAVE
"iPad,bottle",Fri,4,9.45,44,72,0,1,0,OCCUPIED
"book,pen,glasses",Sat,7,18.27,156,336,5,1,1,TEMP_LEAVE
"mouse,wallet,watch",Fri,28,15.41,73,135,5,1,1,LEFT_BEHIND
bag,Mon,59,17.99,22,45,5,0,0,TEMP_LEAVE
bottle,Sun,56,16.21,193,354,0,1,1,LEFT_BEHIND
"wallet,student-id",Mon,13,20.2,3,164,4,0,1,TEMP_LEAVE
"keys,paper,pen,phone",Tue,43,12.26,158,282,5,0,0,TEMP_LEAVE
book,Fri,31,15.27,76,76,2,0,0,LEFT_BEHIND
"book,keys,mouse,watch",Tue,21,16.6,16,82,2,1,0,OCCUPIED
"phone,earphones,bag,glasses",Mon,1,21.68,55,230,0,0,1,TEMP_LEAVE
wallet,Thu,52,19.79,63,192,2,1,1,LEFT_BEHIND
"iPad,mouse,earphones,bottle",Thu,22,9.14,171,315,0,1,0,OCCUPIED
"mouse,wallet,student-id,bag",Fri,41,15.58,112,306,2,0,1,TEMP_LEAVE
"laptop,watch,iPad",Mon,1,8.91,65,67,1,0,0,TEMP_LEAVE
mouse,Sun,2,8.15,104,260,3,0,1,TEMP_LEAVE
"bottle,mouse,paper",Fri,34,9.01,28,61,2,0,1,LEFT_BEHIND
"glasses,bag,phone",Sat,12,9.4,179,251,0,0,0,TEMP_LEAVE
"charging-cable,earphones,student-id,phone",Tue,32,10.35,85,201,4,0,0,TEMP_LEAVE
"phone,iPad",Sat,32,17.51,170,231,1,1,0,OCCUPIED
"iPad,glasses,pen,wallet",Tue,15,11.17,46,193,0,0,0,TEMP_LEAVE
"glasses,paper,laptop",Wed,4,20.91,194,355,0,1,1,LEFT_BEHIND
pen,Wed,17,18.21,92,139,1,0,0,LEFT_BEHIND
"bottle,wallet",Sat,52,11.36,84,242,0,0,0,LEFT_BEHIND
"bag,keys",Tue,48,19.18,104,275,1,1,1,LEFT_BEHIND
"paper,keys",Tue,47,20.67,79,218,3,0,1,LEFT_BEHIND
"laptop,watch,wallet",Wed,40,11.35,94,100,1,1,0,OCCUPIED
student-id,Sun,30,9.01,110,238,2,1,0,OCCUPIED
"wallet,earphones,mouse",Fri,21,20.69,50,139,0,1,1,LEFT_BEHIND
"laptop,student-id,phone",Mon,28,10.29,135,180,4,1,1,LEFT_BEHIND
"mouse,charging-cable,keys",Tue,35,13.37,129,173,0,1,1,LEFT_BEHIND
bag,Tue,0,12.27,82,226,5,1,1,OCCUPIED
"mouse,student-id",Sun,27,19.79,139,319,4,1,0,OCCUPIED
"iPad,watch,student-id",Mon,23,14.14,95,196,2,0,1,TEMP_LEAVE
"mouse,bottle,iPad",Thu,20,15.67,171,227,2,1,1,LEFT_BEHIND
"pen,iPad",Tue,37,15.03,81,247,4,1,1,LEFT_BEHIND
"earphones,bottle,keys,glasses",Tue,31,19.49,58,154,1,0,1,TEMP_LEAVE
"bottle,phone",Fri,50,17.18,192,383,3,0,0,TEMP_LEAVE
"wallet,charging-cable",Wed,43,8.45,28,45,1,0,0,LEFT_BEHIND
"charging-cable,laptop,book,bag",Sat,13,9.17,88,178,0,0,1,TEMP_LEAVE
glasses,Fri,29,9.26,100,243,4,0,0,LEFT_BEHIND
bottle,Mon,26,11.01,183,255,0,0,0,LEFT_BEHIND
phone,Tue,39,15.81,10,68,0,1,0,OCCUPIED
"glasses,wallet,bag,mouse",Mon,48,16.04,154,345,0,0,0,LEFT_BEHIND
"laptop,watch,glasses,bottle",Thu,7,16.44,110,301,1,1,0,OCCUPIED
paper,Tue,24,21.55,100,120,2,1,0,OCCUPIED
"bottle,watch,paper",Sat,4,14.94,102,138,1,0,1,TEMP_LEAVE
bottle,Mon,18,15.32,96,253,0,0,0,LEFT_BEHIND
"keys,paper,bag",Wed,5,21.57,78,219,2,0,1,TEMP_LEAVE
"mouse,earphones,bag",Fri,49,10.19,120,318,4,1,1,LEFT_BEHIND
"phone,glasses,laptop",Mon,56,16.93,116,217,4,1,1,LEFT_BEHIND
"student-id,watch,pen",Thu,13,13.49,184,212,1,1,0,OCCUPIED
"student-id,wallet,paper",Mon,60,21.03,125,216,2,0,0,TEMP_LEAVE
"keys,student-id",Sat,41,19.27,116,138,5,0,0,TEMP_LEAVE
"laptop,mouse,charging-cable,earphones",Sat,47,21.55,57,223,2,0,1,TEMP_LEAVE
"earphones,iPad",Thu,17,8.12,65,174,2,1,0,OCCUPIED
"pen,bag,keys",Sun,0,13.22,130,265,2,1,0,OCCUPIED
iPad,Fri,27,9.77,22,113,3,0,1,TEMP_LEAVE
"glasses,pen,iPad,laptop",Tue,10,13.0,191,312,0,0,1,TEMP_LEAVE
bag,Sun,52,12.07,192,281,5,1,1,LEFT_BEHIND
"laptop,keys,student-id",Wed,37,13.3,63,71,2,1,1,LEFT_BEHIND
student-id,Mon,37,13.28,52,228,0,1,0,OCCUPIED
paper,Sun,5,11.69,193,305,0,1,1,LEFT_BEHIND
earphones,Wed,9,18.96,105,261,3,0,1,TEMP_LEAVE
"watch,laptop,phone,keys",Tue,13,21.0,56,70,0,1,0,OCCUPIED
"keys,iPad,glasses,phone",Sat,31,12.83,159,301,0,0,1,LEFT_BEHIND
iPad,Sat,17,18.32,172,307,2,0,1,TEMP_LEAVE
paper,Sat,8,15.94,92,138,2,1,0,OCCUPIED
mouse,Mon,38,20.65,199,393,0,0,1,LEFT_BEHIND
"bottle,book",Sat,41,13.72,82,181,4,0,1,LEFT_BEHIND
"book,wallet",Sun,17,17.39,30,87,4,0,0,LEFT_BEHIND
phone,Sat,20,13.6,51,123,4,0,1,TEMP_LEAVE
